APH1A_NM_001077628	31628	41503	26343	33490	42828	33467	28560	36143	34525	34062	29287
APH1A_NM_001243771	30415	39798	25408	32071	40968	32303	27753	35000	32941	32504	28164
APH1A_NM_001243772	27401	35680	22704	28772	36831	29079	24645	31210	29608	29318	25227
APH1A_NM_016022	33927	44661	28527	35882	46008	35961	31019	38982	37060	36393	31536
APH1A_NR_045033	32511	42645	27197	34327	44010	34507	29646	37366	35290	34862	30223
APH1A_NR_045034	27604	35991	23099	28908	36969	29369	25211	31683	29794	29291	25417
APH1A_NR_045035	31116	40854	26218	32719	42009	33027	28477	35665	33913	33180	28789
APITD1-CORT_NM_001243768	2027	2755	1930	1934	3722	1745	1527	2071	1829	2151	1999
APITD1-CORT_NM_198544	1704	2075	1792	1485	3570	1377	1266	1940	1384	1803	1766
APITD1-CORT_NM_199006	1175	1385	1206	968	2387	868	856	1266	895	1208	1152
APITD1-CORT_NR_037187	1613	2222	1471	1572	2899	1394	1197	1595	1490	1728	1574
APITD1_NM_199294	2692	3265	2492	2512	5552	2208	1934	3002	2192	2846	2718
APITD1_NR_036462	3601	4693	3193	3453	6820	3005	2616	3738	3093	3758	3511
APOA1BP_NM_144772	17334	13186	11193	15388	14291	15149	11564	12551	20573	20303	9382
APOA2_NM_001643	0	0	0	0	0	3	0	0	0	0	0
APOBEC4_NM_203454	88	62	146	154	146	86	45	49	66	96	48
AQP10_NM_080429	0	0	2	0	0	0	0	0	0	6	0
ARF1_NM_001024226	101331	112546	89224	110179	135501	92693	82197	98750	103933	107165	73713
ARF1_NM_001024227	101493	112805	89386	110311	135679	92816	82284	98884	104063	107279	73777
ARF1_NM_001024228	101480	112787	89374	110307	135670	92808	82279	98876	104055	107268	73772
ARF1_NM_001658	101230	112439	89155	110084	135361	92625	82135	98677	103841	107063	73660
ARHGAP29_NM_004815	19154	40931	23821	9291	62659	44690	35158	57427	20797	25702	50208
ARHGAP30_NM_001025598	22	59	29	41	23	8	35	24	55	4	13
ARHGAP30_NM_181720	20	46	20	35	21	8	24	22	46	4	7
ARHGEF10L_NM_001011722	5284	12221	5026	14852	10232	10137	8935	10043	8060	6875	5593
ARHGEF10L_NM_018125	5407	12462	5131	15094	10429	10337	9145	10279	8257	7019	5728
ARHGEF11_NM_014784	8857	15837	8088	15482	11899	11575	11842	13982	11479	10370	8392
ARHGEF11_NM_198236	8971	15993	8205	15661	12064	11709	11984	14164	11610	10464	8489
ARHGEF16_NM_014448	7	18	9	10	76	10	38	36	5	20	7
ARHGEF19_NM_153213	1657	3496	1427	884	1981	2919	1846	1266	2828	1654	1389
ARHGEF2_NM_001162383	21602	25655	31025	36525	33439	46648	39897	20400	30481	35979	17376
ARHGEF2_NM_001162384	21592	25645	31013	36514	33430	46634	39891	20394	30473	35961	17374
ARHGEF2_NM_004723	21569	25599	30947	36478	33277	46577	39860	20375	30414	35901	17357
ARID1A_NM_006015	6561	7469	4834	11286	11170	6310	8211	10268	7127	5769	5149
ARID1A_NM_139135	6180	6965	4579	10680	10498	5929	7682	9614	6728	5443	4885
ARID4B_NM_001206794	5337	5379	2894	3872	4069	4275	2309	7654	4600	4369	4323
ARID4B_NM_016374	5386	5421	2924	3902	4107	4310	2345	7715	4650	4415	4354
ARID4B_NM_031371	5213	5307	2845	3783	3957	4154	2272	7447	4484	4266	4258
ARL8A_NM_001256129	7674	6468	5516	8421	7829	7544	6702	7978	10361	10252	5891
ARL8A_NM_138795	8535	7204	6204	9419	8669	8396	7476	8939	11629	11434	6610
ARNT_NM_001197325	17164	27632	15391	20911	16131	21003	15179	18054	22811	15415	13827
ARNT_NM_001668	17579	28377	15813	21454	16625	21577	15569	18550	23458	15853	14178
ARNT_NM_178427	17167	27637	15391	20912	16133	21008	15182	18056	22812	15419	13830
ARPC5_NM_005717	95542	74712	62608	109376	101197	51488	48001	52579	69974	111597	49191
ARTN_NM_001136215	16	4	14	23	84	16	16	46	6	23	22
ARTN_NM_057090	20	6	14	28	103	17	18	50	8	27	25
ARTN_NM_057091	20	6	14	28	102	17	18	50	8	27	25
ARV1_NM_022786	3509	3758	2877	3661	2934	2522	1830	2964	3076	3535	2250
ASAP3_NM_001143778	9251	21970	10188	7404	5339	10055	11494	12601	14870	6982	6006
ASAP3_NM_017707	9549	22682	10544	7650	5533	10402	11864	13022	15373	7194	6196
ASB17_NM_080868	0	0	0	0	0	0	0	2	0	0	0
ASB17_NR_026546	0	0	0	0	0	0	0	2	0	0	0
ASH1L_NM_018489	8068	14934	7174	10156	11440	11095	6213	14714	9601	7999	7625
ASPM_NM_001206846	1704	1201	2003	1103	14141	983	1586	5608	755	1571	4140
ASPM_NM_018136	2663	1884	3182	1849	23238	1489	2601	9219	1229	2415	6385
ASTN1_NM_004319	60	881	19	3	70	2112	1250	382	138	30	502
ASTN1_NM_207108	44	503	13	2	24	1463	815	217	75	13	331
ATAD3A_NM_001170535	96305	119898	109937	100934	300741	113636	131618	141422	95424	109969	86597
ATAD3A_NM_001170536	96083	119768	109774	100718	300250	113468	131476	141140	95244	109816	86376
ATAD3A_NM_018188	96309	119900	109941	100938	300749	113638	131624	141432	95427	109971	86600
ATAD3B_NM_031921	111126	151915	142862	116369	361267	139096	158538	203635	120891	135451	105784
ATAD3C_NM_001039211	26635	36311	34484	27022	96624	30669	38661	51489	28466	34246	25045
ATF3_NM_001030287	226	232	388	2867	328	384	440	138	300	1078	136
ATF3_NM_001040619	244	249	398	3024	341	412	464	142	314	1118	140
ATF3_NM_001206484	242	250	398	3026	340	413	473	144	314	1128	138
ATF3_NM_001206486	234	237	392	2920	332	390	445	138	305	1086	138
ATF3_NM_001206488	236	244	394	2966	337	404	459	142	307	1109	138
ATF3_NM_001674	237	246	396	2980	337	407	462	142	310	1113	138
ATF6_NM_007348	15209	17944	12584	18111	23116	15572	13352	18309	16064	18371	10901
ATG4C_NM_032852	2248	2511	2137	2578	2897	2528	1145	2179	2303	2381	2262
ATG4C_NM_178221	2228	2497	2124	2564	2877	2521	1139	2167	2281	2374	2247
ATP13A2_NM_001141973	10969	7019	9094	7265	11925	7897	8354	8727	11650	8554	4974
ATP13A2_NM_001141974	10201	6517	8558	6786	11085	7392	7852	8204	10903	7988	4691
ATP13A2_NM_022089	10987	7039	9119	7272	11949	7914	8375	8744	11677	8574	4992
ATP1A1OS_NR_024124	434	928	408	670	665	621	746	511	512	454	433
ATP1A1OS_NR_024125	446	975	421	691	678	649	774	533	526	465	451
ATP1A1OS_NR_024126	144	478	192	200	122	272	201	179	170	170	207
ATP1A1OS_NR_027645	6073	8038	4715	9592	10429	6800	8317	8046	6632	5593	3867
ATP1A1OS_NR_027646	5890	8105	4733	9825	10612	6735	8427	7820	6666	5623	3837
ATP1A1_NM_000701	66412	91627	55815	109729	118584	76441	96954	91428	76994	63000	46438
ATP1A1_NM_001160233	66287	91409	55702	109451	118231	76312	96688	91236	76831	62853	46344
ATP1A1_NM_001160234	66275	91373	55685	109432	118224	76287	96663	91222	76813	62845	46339
ATP1A2_NM_000702	487	26	4	36	10	34	99	70	16	127	51
ATP1A4_NM_001001734	95	0	0	2	2	0	0	2	0	0	0
ATP1A4_NM_144699	418	0	0	2	3	6	1	19	0	36	0
ATP1B1_NM_001677	6132	9672	5431	1142	9238	6467	5120	8495	9962	4458	6458
ATP2B4_NM_001001396	30247	88574	58199	104648	109322	61155	86848	96936	40090	59566	54886
ATP2B4_NM_001684	29903	87380	57443	103267	107961	60369	85676	95722	39640	58771	54206
ATP5F1_NM_001688	45263	45782	37252	41692	44329	34543	24672	35167	43805	50568	35720
ATP6V0B_NM_001039457	24303	18148	15711	19207	30483	17960	15906	18447	21150	30965	15297
ATP6V0B_NM_004047	26888	20232	17377	21203	33887	19920	17625	20192	23489	34307	16813
ATP6V1G3_NM_133262	360	182	44	105	162	28	144	291	218	445	134
ATP6V1G3_NM_133326	413	182	44	105	194	28	165	291	218	485	134
ATP8B2_NM_001005855	11956	22143	11533	17426	20358	13572	15940	20620	17456	12355	10245
ATP8B2_NM_020452	47731	88011	42206	69382	77018	54592	62006	81345	67298	48836	41563
ATPAF1-AS1_NM_001145474	2	30	4	22	0	8	18	7	16	4	2
